sample,cluster
G3_IVFSM,13
G3_IVFSM.1,13
G3_IVFSM.2,13
G3_IVFSM.3,13
G4_IIIFSM,13
G4_IIIFSM.1,13
G4_IIIFSM.2,13
G4_IIIFSM.3,13
G4_IVFS,13
G4_IVFS.1,13
G4_IVFS.2,13
G4_IVFS.3,13
G4_IVFSM,13
G4_IVFSM.1,13
G4_IVFSM.2,13
G4_IVFSM.3,13
G5_IIIFSM,13
G5_IIIFSM.1,13
G5_IIIFSM.2,13
G5_IIIFSM.3,13
G5_IVFS,13
G5_IVFS.1,13
G5_IVFS.2,13
G5_IVFS.3,13
G5_IVFSM,13
G5_IVFSM.1,13
G5_IVFSM.2,13
G5_IVFSM.3,13
GT_IIIFSM,13
GT_IIIFSM.1,13
GT_IIIFSM.2,13
GT_IIIFSM.3,13
GT_IVFS,13
GT_IVFS.1,13
GT_IVFS.2,13
GT_IVFS.3,13
P1_IIIFSM,13
P1_IIIFSM.1,13
P1_IIIFSM.2,13
P1_IIIFSM.3,13
P1_IVFSM,13
P1_IVFSM.1,13
P1_IVFSM.2,13
P1_IVFSM.3,13
P2_IIIFSM,13
P2_IIIFSM.1,13
P2_IIIFSM.2,13
P2_IIIFSM.3,13
P2_IVFSM,13
P2_IVFSM.1,13
P2_IVFSM.2,13
P2_IVFSM.3,13
P3_IIIFSM,13
P3_IIIFSM.1,13
P3_IIIFSM.2,13
P3_IIIFSM.3,13
P3_IVFSM,13
P3_IVFSM.1,13
P3_IVFSM.2,13
P3_IVFSM.3,13
P4_IIIFSM,13
P4_IIIFSM.1,13
P4_IIIFSM.2,13
P4_IIIFSM.3,13
P4_IVFSM,13
P4_IVFSM.1,13
P4_IVFSM.2,13
P4_IVFSM.3,13
P5_IIIFSM,13
P5_IIIFSM.1,13
P5_IIIFSM.2,13
P5_IIIFSM.3,13
P5_IVFSM,13
P5_IVFSM.1,13
P5_IVFSM.2,13
P5_IVFSM.3,13
PT_IIIFSM,13
PT_IIIFSM.1,13
PT_IIIFSM.2,13
PT_IIIFSM.3,13
PT_IVFSM,13
PT_IVFSM.1,13
PT_IVFSM.2,13
PT_IVFSM.3,13
G1_IIISM,14
G1_IIISM.1,14
G1_IIISM.2,14
G1_IIISM.3,14
G1_IVSM,14
G1_IVSM.1,14
G1_IVSM.2,14
G1_IVSM.3,14
G2_IIISM,14
G2_IIISM.1,14
G2_IIISM.2,14
G2_IIISM.3,14
G3_IIISM,14
G3_IIISM.1,14
G3_IIISM.2,14
G3_IIISM.3,14
G3_IVSM,14
G3_IVSM.1,14
G3_IVSM.2,14
G3_IVSM.3,14
G4_IIISM,14
G4_IIISM.1,14
G4_IIISM.2,14
G4_IIISM.3,14
G5_IVSM,14
G5_IVSM.1,14
G5_IVSM.2,14
G5_IVSM.3,14
GT_IIISM,14
GT_IIISM.1,14
GT_IIISM.2,14
GT_IIISM.3,14
P1_IIISM,14
P1_IIISM.1,14
P1_IIISM.2,14
P1_IIISM.3,14
P1_IVSM,14
P1_IVSM.1,14
P1_IVSM.2,14
P1_IVSM.3,14
P2_IIISM,14
P2_IIISM.1,14
P2_IIISM.2,14
P2_IIISM.3,14
P2_IVSM,14
P2_IVSM.1,14
P2_IVSM.2,14
P2_IVSM.3,14
P3_IIISM,14
P3_IIISM.1,14
P3_IIISM.2,14
P3_IIISM.3,14
P3_IVSM,14
P3_IVSM.1,14
P3_IVSM.2,14
P3_IVSM.3,14
P4_IIISM,14
P4_IIISM.1,14
P4_IIISM.2,14
P4_IIISM.3,14
P4_IVSM,14
P4_IVSM.1,14
P4_IVSM.2,14
P4_IVSM.3,14
P5_IIISM,14
P5_IIISM.1,14
P5_IIISM.2,14
P5_IIISM.3,14
P5_IVSM,14
P5_IVSM.1,14
P5_IVSM.2,14
P5_IVSM.3,14
PT_IIISM,14
PT_IIISM.1,14
PT_IIISM.2,14
PT_IIISM.3,14
PT_IVSM,14
PT_IVSM.1,14
PT_IVSM.2,14
PT_IVSM.3,14
G1_IFS,15
G1_IFS.1,15
G1_IFS.2,15
G1_IFS.3,15
G1_IS,15
G1_IS.1,15
G1_IS.2,15
G1_IS.3,15
G2_IFS,15
G2_IFS.1,15
G2_IFS.2,15
G2_IFS.3,15
G2_IS,15
G2_IS.1,15
G2_IS.2,15
G2_IS.3,15
G3_IFS,15
G3_IFS.1,15
G3_IFS.2,15
G3_IFS.3,15
G3_IS,15
G3_IS.1,15
G3_IS.2,15
G3_IS.3,15
G4_IFS,15
G4_IFS.1,15
G4_IFS.2,15
G4_IFS.3,15
G4_IS,15
G4_IS.1,15
G4_IS.2,15
G4_IS.3,15
G5_IFS,15
G5_IFS.1,15
G5_IFS.2,15
G5_IFS.3,15
G5_IS,15
G5_IS.1,15
G5_IS.2,15
G5_IS.3,15
C1_IFS,16
C1_IFS.1,16
C1_IFS.2,16
C1_IFS.3,16
C2_IFS,16
C2_IFS.1,16
C2_IFS.2,16
C2_IFS.3,16
C3_IFS,16
C3_IFS.1,16
C3_IFS.2,16
C3_IFS.3,16
C4_IFS,16
C4_IFS.1,16
C4_IFS.2,16
C4_IFS.3,16
C5_IFS,16
C5_IFS.1,16
C5_IFS.2,16
C5_IFS.3,16
